??,??(V),??(A),??(W),??(Hz),????,??,??
151,220.83,0.419,85.59,50.04,0.925,8:50:26 PM:292,1
152,220.73,0.405,82.24,50.04,0.920,8:50:26 PM:683,1
153,220.83,0.357,71.22,50.06,0.903,8:50:27 PM:074,1
154,220.88,0.364,72.95,50.04,0.907,8:50:27 PM:448,1
155,221.02,0.340,65.68,50.04,0.874,8:50:27 PM:839,1
156,221.00,0.309,55.90,50.05,0.819,8:50:28 PM:214,1
157,220.79,0.228,38.99,50.04,0.775,8:50:28 PM:589,1
158,220.60,0.396,79.40,50.05,0.909,8:50:28 PM:979,1
159,220.82,0.357,70.67,50.04,0.896,8:50:29 PM:370,1
160,220.87,0.383,71.26,50.03,0.842,8:50:29 PM:760,1
161,220.88,0.218,38.66,50.06,0.803,8:50:30 PM:151,1
162,220.88,0.353,67.68,50.04,0.868,8:50:30 PM:541,1
163,220.86,0.302,56.68,50.05,0.850,8:50:30 PM:932,1
164,220.84,0.359,71.07,50.05,0.896,8:50:31 PM:323,1
165,220.87,0.331,65.34,50.04,0.894,8:50:31 PM:697,1
166,220.81,0.285,54.39,50.04,0.864,8:50:32 PM:088,1
167,220.66,0.390,76.68,50.03,0.891,8:50:32 PM:479,1
168,220.68,0.382,70.99,50.04,0.842,8:50:32 PM:869,1
169,220.79,0.270,49.91,50.04,0.837,8:50:33 PM:260,1
170,220.75,0.377,70.47,50.05,0.847,8:50:33 PM:650,1
171,220.63,0.443,62.59,50.03,0.640,8:50:34 PM:041,1
172,220.74,0.381,71.42,50.04,0.849,8:50:34 PM:431,1
173,220.66,0.273,49.31,50.07,0.819,8:50:34 PM:822,1
174,220.67,0.383,74.12,50.04,0.877,8:50:35 PM:212,1
175,220.77,0.332,64.05,50.03,0.874,8:50:35 PM:603,1
176,220.68,0.359,64.38,50.04,0.813,8:50:35 PM:993,1
177,220.74,0.289,55.17,50.04,0.865,8:50:36 PM:368,1
178,220.60,0.405,79.74,50.04,0.893,8:50:36 PM:759,1
179,220.75,0.359,70.28,50.05,0.887,8:50:37 PM:149,1
180,220.80,0.384,76.80,50.04,0.906,8:50:37 PM:540,1
181,220.88,0.303,56.34,50.05,0.842,8:50:37 PM:930,1
