??,??(V),??(A),??(W),??(Hz),????,??,??
258,218.49,0.364,71.93,50.01,0.904,8:07:19 PM:322,1
259,218.43,0.344,67.42,50.01,0.897,8:07:19 PM:695,1
260,218.64,0.305,57.69,50.00,0.865,8:07:20 PM:068,1
261,218.42,0.373,72.44,50.00,0.889,8:07:20 PM:439,1
262,218.56,0.308,58.78,50.01,0.873,8:07:20 PM:814,1
263,218.56,0.796,85.30,50.01,0.490,8:07:21 PM:200,1
264,218.55,0.370,71.34,50.01,0.882,8:07:21 PM:571,1
265,218.70,0.341,66.24,50.01,0.888,8:07:21 PM:942,1
266,218.72,0.412,82.87,50.00,0.920,8:07:22 PM:314,1
267,218.69,0.407,81.05,50.01,0.911,8:07:22 PM:705,1
268,218.91,0.249,44.85,50.01,0.823,8:07:23 PM:089,1
269,218.74,0.336,64.15,50.01,0.873,8:07:23 PM:465,1
270,218.63,0.391,78.21,49.99,0.915,8:07:23 PM:838,1
271,218.67,0.398,80.08,50.02,0.920,8:07:24 PM:211,1
272,218.40,0.415,83.14,50.01,0.917,8:07:24 PM:585,1
273,218.59,0.441,89.59,50.02,0.929,8:07:24 PM:955,1
274,218.45,0.371,72.48,50.01,0.894,8:07:25 PM:331,1
275,218.34,0.339,64.54,50.01,0.872,8:07:25 PM:704,1
276,218.49,0.350,68.79,50.01,0.900,8:07:26 PM:079,1
277,218.45,0.471,69.68,50.02,0.677,8:07:26 PM:469,1
278,218.62,0.385,75.91,50.00,0.902,8:07:26 PM:859,1
279,218.66,0.369,71.75,50.01,0.889,8:07:27 PM:247,1
280,218.45,0.338,64.46,50.01,0.873,8:07:27 PM:621,1
281,218.69,0.297,56.63,50.01,0.872,8:07:27 PM:981,1
282,218.57,0.346,67.61,50.01,0.894,8:07:28 PM:356,1
283,218.44,0.409,81.77,49.99,0.915,8:07:28 PM:729,1
284,218.73,0.281,48.86,50.02,0.795,8:07:29 PM:101,1
285,218.68,0.352,67.66,50.03,0.879,8:07:29 PM:478,1
286,218.60,0.401,79.48,50.03,0.907,8:07:29 PM:852,1
287,218.72,0.377,75.02,50.02,0.910,8:07:30 PM:224,1
288,218.63,0.388,76.38,50.04,0.900,8:07:30 PM:599,1
289,218.75,0.383,73.63,50.00,0.879,8:07:30 PM:972,1
290,218.55,0.375,73.91,50.02,0.902,8:07:31 PM:348,1
291,218.54,0.328,63.16,50.01,0.881,8:07:31 PM:724,1
292,218.81,0.346,67.99,50.01,0.898,8:07:32 PM:096,1
293,218.68,0.443,88.97,50.02,0.918,8:07:32 PM:470,1
294,218.77,0.403,73.78,50.02,0.837,8:07:32 PM:857,1
295,218.84,0.399,78.77,50.02,0.902,8:07:33 PM:231,1
296,218.64,0.373,72.70,50.01,0.891,8:07:33 PM:601,1
297,218.71,0.381,61.57,50.02,0.739,8:07:33 PM:978,1
298,218.65,0.357,70.17,50.03,0.899,8:07:34 PM:352,1
299,218.62,0.334,65.35,50.01,0.895,8:07:34 PM:725,1
300,218.82,0.240,41.28,50.03,0.786,8:07:35 PM:101,1
301,218.61,0.415,82.98,50.02,0.915,8:07:35 PM:476,1
302,218.77,0.395,78.43,50.02,0.908,8:07:35 PM:852,1
303,218.88,0.327,63.04,50.03,0.881,8:07:36 PM:222,1
304,218.67,0.373,54.10,50.04,0.663,8:07:36 PM:612,1
305,218.71,0.360,71.29,50.03,0.905,8:07:36 PM:988,1
306,218.74,0.342,66.05,50.02,0.883,8:07:37 PM:362,1
307,218.66,0.353,68.67,50.02,0.890,8:07:37 PM:753,1
308,218.76,0.341,65.68,50.02,0.880,8:07:38 PM:130,1
309,218.66,0.418,84.34,50.03,0.923,8:07:38 PM:504,1
310,218.64,0.386,76.30,50.00,0.904,8:07:38 PM:879,1
311,218.75,0.355,69.82,50.02,0.899,8:07:39 PM:253,1
312,218.55,0.364,72.16,50.02,0.907,8:07:39 PM:630,1
313,218.59,0.336,65.48,50.02,0.892,8:07:40 PM:007,1
314,218.76,0.341,65.05,50.03,0.872,8:07:40 PM:381,1
