??,??(V),??(A),??(W),??(Hz),????,??,??
124,220.80,0.432,68.05,49.99,0.713,9:51:59 PM:155,1
125,220.70,0.363,72.50,49.99,0.905,9:51:59 PM:532,1
126,220.80,0.281,52.73,49.99,0.850,9:51:59 PM:907,1
127,220.74,0.351,69.30,49.99,0.894,9:52:00 PM:283,1
128,220.79,0.340,66.63,49.98,0.888,9:52:00 PM:656,1
129,220.81,0.322,62.72,49.98,0.882,9:52:01 PM:030,1
130,220.48,0.334,65.55,49.99,0.890,9:52:01 PM:406,1
131,220.44,0.341,66.31,49.99,0.882,9:52:01 PM:779,1
132,220.71,0.353,70.20,49.99,0.901,9:52:02 PM:158,1
133,220.72,0.368,73.86,49.99,0.909,9:52:02 PM:536,1
134,220.88,0.329,64.36,49.98,0.886,9:52:02 PM:926,1
135,220.91,0.335,65.42,49.99,0.884,9:52:03 PM:304,1
136,220.66,0.324,62.40,49.99,0.873,9:52:03 PM:677,1
137,220.60,0.334,65.59,49.99,0.890,9:52:04 PM:052,1
138,220.59,0.338,66.76,49.99,0.895,9:52:04 PM:429,1
139,220.68,0.342,67.27,49.98,0.891,9:52:04 PM:805,1
140,220.74,0.290,53.61,49.99,0.837,9:52:05 PM:180,1
141,220.67,0.332,64.61,49.99,0.882,9:52:05 PM:552,1
142,220.69,0.261,48.28,49.99,0.838,9:52:05 PM:927,1
143,220.82,0.335,63.47,49.98,0.858,9:52:06 PM:301,1
144,220.61,0.405,81.34,49.99,0.910,9:52:06 PM:677,1
145,220.73,0.313,59.15,49.99,0.856,9:52:07 PM:052,1
146,220.83,0.307,58.68,49.99,0.866,9:52:07 PM:440,1
147,220.71,0.309,59.27,50.00,0.869,9:52:07 PM:816,1
148,220.78,0.327,64.16,49.99,0.889,9:52:08 PM:193,1
149,220.75,0.341,67.48,49.99,0.896,9:52:08 PM:568,1
150,220.79,0.331,64.64,49.98,0.884,9:52:08 PM:941,1
151,220.82,0.297,56.44,49.99,0.861,9:52:09 PM:316,1
152,220.88,0.313,59.03,49.99,0.854,9:52:09 PM:693,1
153,220.79,0.341,66.36,50.00,0.881,9:52:10 PM:068,1
154,220.75,0.333,64.99,49.99,0.884,9:52:10 PM:447,1
155,220.83,0.343,68.01,49.99,0.898,9:52:10 PM:827,1
156,220.91,0.363,72.57,50.00,0.905,9:52:11 PM:205,1
157,220.73,0.346,68.42,50.00,0.896,9:52:11 PM:582,1
158,220.65,0.359,71.68,50.00,0.905,9:52:11 PM:960,1
159,220.84,0.342,67.84,50.01,0.898,9:52:12 PM:337,1
160,220.79,0.340,66.18,50.01,0.882,9:52:12 PM:712,1
161,220.76,0.284,54.16,50.01,0.864,9:52:13 PM:090,1
162,220.73,0.331,63.24,50.01,0.866,9:52:13 PM:465,1
163,220.70,0.347,68.80,49.99,0.898,9:52:13 PM:844,1
164,220.73,0.345,68.03,50.01,0.893,9:52:14 PM:221,1
165,220.78,0.279,52.74,49.99,0.856,9:52:14 PM:595,1
166,220.79,0.308,57.47,50.00,0.845,9:52:14 PM:968,1
167,220.80,0.244,44.66,50.02,0.829,9:52:15 PM:343,1
168,220.83,0.306,58.41,49.99,0.864,9:52:15 PM:720,1
169,220.89,0.288,54.66,50.00,0.859,9:52:16 PM:094,1
170,220.77,0.306,59.49,49.98,0.881,9:52:16 PM:466,1
171,220.69,0.320,59.68,49.99,0.845,9:52:16 PM:842,1
172,220.75,0.278,51.97,49.99,0.847,9:52:17 PM:218,1
173,220.60,0.319,59.08,49.99,0.839,9:52:17 PM:593,1
174,220.62,0.297,56.24,50.00,0.858,9:52:17 PM:967,1
175,220.72,0.287,55.10,50.01,0.870,9:52:18 PM:341,1
176,220.69,0.331,64.07,49.99,0.877,9:52:18 PM:718,1
177,220.83,0.253,46.27,49.99,0.828,9:52:19 PM:094,1
178,220.74,0.304,57.76,49.99,0.861,9:52:19 PM:469,1
179,220.97,0.287,54.43,49.99,0.858,9:52:19 PM:844,1
180,220.94,0.315,61.28,49.98,0.880,9:52:20 PM:217,1
181,220.84,0.258,48.04,49.99,0.843,9:52:20 PM:592,1
182,220.81,0.297,54.34,49.99,0.829,9:52:20 PM:968,1
183,220.78,0.296,57.07,49.99,0.873,9:52:21 PM:339,1
184,220.72,0.305,58.37,49.99,0.867,9:52:21 PM:715,1
185,220.92,0.278,52.50,49.99,0.855,9:52:22 PM:090,1
186,220.95,0.335,65.51,49.99,0.885,9:52:22 PM:466,1
187,221.00,0.248,44.63,49.99,0.814,9:52:22 PM:842,1
188,220.98,0.301,56.70,49.98,0.852,9:52:23 PM:217,1
189,220.91,0.284,53.92,50.00,0.859,9:52:23 PM:590,1
190,220.99,0.310,59.86,50.01,0.874,9:52:23 PM:962,1
191,221.13,0.259,48.34,50.01,0.844,9:52:24 PM:339,1
192,220.97,0.326,62.46,50.01,0.867,9:52:24 PM:711,1
193,221.02,0.282,53.12,49.99,0.852,9:52:25 PM:084,1
194,220.88,0.296,56.64,50.00,0.866,9:52:25 PM:459,1
195,221.00,0.270,50.76,50.01,0.851,9:52:25 PM:833,1
196,221.06,0.305,57.30,50.00,0.850,9:52:26 PM:223,1
197,220.91,0.260,48.50,50.01,0.844,9:52:26 PM:597,1
198,220.87,0.303,58.07,49.99,0.868,9:52:26 PM:974,1
199,220.83,0.444,64.45,50.00,0.657,9:52:27 PM:348,1
200,220.74,0.302,57.00,49.99,0.855,9:52:27 PM:725,1
201,220.96,0.277,52.30,50.01,0.855,9:52:28 PM:098,1
202,220.99,0.298,55.78,50.00,0.847,9:52:28 PM:474,1
203,221.06,0.285,53.85,50.01,0.855,9:52:28 PM:849,1
204,221.02,0.295,56.11,50.00,0.860,9:52:29 PM:224,1
205,220.97,0.268,49.67,50.01,0.839,9:52:29 PM:599,1
206,221.02,0.298,56.38,50.01,0.856,9:52:29 PM:972,1
207,220.90,0.277,52.07,49.99,0.851,9:52:30 PM:360,1
208,220.83,0.287,54.53,50.01,0.860,9:52:30 PM:733,1
209,220.91,0.283,54.00,50.00,0.864,9:52:31 PM:109,1
210,220.81,0.306,58.71,50.04,0.869,9:52:31 PM:486,1
211,220.78,0.291,53.76,50.01,0.837,9:52:31 PM:862,1
212,220.67,0.370,73.73,50.02,0.903,9:52:32 PM:224,1
213,220.86,0.352,70.07,50.02,0.901,9:52:32 PM:598,1
214,220.92,0.351,69.84,50.01,0.901,9:52:32 PM:973,1
215,220.97,0.326,63.07,50.02,0.876,9:52:33 PM:362,1
216,220.92,0.351,67.98,50.02,0.877,9:52:33 PM:737,1
217,220.95,0.336,65.96,50.03,0.888,9:52:34 PM:127,1
218,220.95,0.362,71.45,50.03,0.893,9:52:34 PM:489,1
219,221.07,0.321,61.43,50.03,0.866,9:52:34 PM:865,1
220,221.05,0.372,69.45,50.02,0.845,9:52:35 PM:242,1
221,221.01,0.313,59.98,50.01,0.867,9:52:35 PM:617,1
222,221.05,0.319,61.82,50.01,0.877,9:52:35 PM:990,1
223,221.12,0.281,52.71,50.03,0.848,9:52:36 PM:365,1
224,220.96,0.297,56.57,50.03,0.862,9:52:36 PM:738,1
225,221.01,0.249,44.83,50.03,0.815,9:52:37 PM:128,1
226,220.82,0.325,63.57,50.03,0.886,9:52:37 PM:517,1
227,220.99,0.264,49.14,50.02,0.842,9:52:37 PM:892,1
228,221.07,0.287,53.99,50.03,0.851,9:52:38 PM:266,1
229,220.90,0.290,54.91,50.04,0.857,9:52:38 PM:642,1
230,220.91,0.301,57.18,50.04,0.860,9:52:39 PM:019,1
231,220.92,0.496,54.34,50.04,0.496,9:52:39 PM:424,1
232,220.91,0.313,60.10,50.02,0.869,9:52:39 PM:795,1
233,220.97,0.307,59.52,50.04,0.877,9:52:40 PM:171,1
234,220.91,0.296,55.78,50.03,0.853,9:52:40 PM:548,1
235,220.76,0.367,58.07,50.04,0.717,9:52:40 PM:922,1
236,220.91,0.318,61.51,50.04,0.876,9:52:41 PM:295,1
237,220.78,0.376,75.00,50.04,0.903,9:52:41 PM:669,1
238,220.91,0.318,60.16,50.02,0.856,9:52:42 PM:044,1
239,220.80,0.314,60.51,50.02,0.873,9:52:42 PM:417,1
240,220.82,0.329,64.17,50.04,0.883,9:52:42 PM:792,1
241,220.86,0.283,51.53,50.05,0.824,9:52:43 PM:167,1
242,220.89,0.322,63.09,50.05,0.887,9:52:43 PM:541,1
243,220.83,0.315,61.34,50.04,0.882,9:52:43 PM:913,1
244,220.95,0.328,63.19,50.05,0.872,9:52:44 PM:290,1
245,220.93,0.311,60.39,50.04,0.879,9:52:44 PM:665,1
246,220.91,0.367,71.05,50.03,0.876,9:52:45 PM:039,1
247,220.94,0.329,57.65,50.05,0.793,9:52:45 PM:413,1
248,220.95,0.436,88.36,50.04,0.917,9:52:45 PM:802,1
249,220.93,0.437,87.83,50.03,0.910,9:52:46 PM:175,1
250,221.00,0.374,73.23,50.05,0.886,9:52:46 PM:564,1
251,220.87,0.270,50.46,50.03,0.846,9:52:46 PM:955,1
252,220.64,0.279,52.73,50.04,0.857,9:52:47 PM:329,1
253,220.58,0.434,67.89,50.04,0.709,9:52:47 PM:701,1
254,220.73,0.263,48.76,50.04,0.840,9:52:48 PM:077,1
255,220.73,0.293,54.25,50.04,0.839,9:52:48 PM:455,1
256,220.58,0.295,56.46,50.03,0.868,9:52:48 PM:828,1
257,220.58,0.267,50.02,50.04,0.849,9:52:49 PM:204,1
258,220.63,0.265,48.88,50.05,0.836,9:52:49 PM:578,1
259,220.74,0.277,50.94,50.03,0.833,9:52:49 PM:953,1
260,220.67,0.253,46.55,50.05,0.834,9:52:50 PM:324,1
261,220.65,0.294,54.68,50.04,0.843,9:52:50 PM:702,1
262,220.63,0.279,52.48,50.05,0.853,9:52:51 PM:077,1
263,220.59,0.322,62.27,50.03,0.877,9:52:51 PM:454,1
264,220.44,0.267,49.99,50.04,0.849,9:52:51 PM:829,1
265,220.51,0.320,61.83,50.02,0.876,9:52:52 PM:201,1
266,220.39,0.310,59.55,50.02,0.872,9:52:52 PM:576,1
267,220.57,0.315,60.83,50.01,0.875,9:52:52 PM:947,1
268,220.73,0.293,56.11,50.02,0.868,9:52:53 PM:323,1
269,220.65,0.313,59.80,50.03,0.866,9:52:53 PM:697,1
270,220.75,0.287,54.51,50.04,0.860,9:52:54 PM:072,1
271,220.79,0.307,58.93,50.03,0.869,9:52:54 PM:446,1
272,220.68,0.346,67.31,50.02,0.882,9:52:54 PM:819,1
273,220.58,0.331,64.44,50.03,0.883,9:52:55 PM:193,1
274,220.68,0.327,63.64,50.03,0.882,9:52:55 PM:568,1
275,220.57,0.306,57.21,50.03,0.848,9:52:55 PM:942,1
276,220.76,0.295,56.62,50.03,0.869,9:52:56 PM:330,1
277,220.63,0.318,62.08,50.04,0.885,9:52:56 PM:702,1
278,220.59,0.331,63.53,50.02,0.870,9:52:57 PM:087,1
279,220.61,0.378,74.51,50.02,0.893,9:52:57 PM:471,1
280,220.54,0.293,55.97,50.03,0.866,9:52:57 PM:863,1
281,220.68,0.307,59.60,50.03,0.880,9:52:58 PM:248,1
282,220.80,0.304,57.93,50.01,0.863,9:52:58 PM:623,1
283,220.76,0.306,58.01,50.03,0.859,9:52:58 PM:993,1
284,220.82,0.278,52.61,50.01,0.857,9:52:59 PM:366,1
285,220.71,0.305,58.30,50.02,0.866,9:52:59 PM:753,1
286,220.53,0.325,63.84,50.03,0.891,9:53:00 PM:142,1
287,220.51,0.382,75.97,50.03,0.902,9:53:00 PM:516,1
288,220.58,0.281,52.98,50.02,0.855,9:53:00 PM:903,1
289,220.70,0.279,52.71,50.02,0.856,9:53:01 PM:280,1
290,220.53,0.308,59.75,50.03,0.880,9:53:01 PM:656,1
291,220.53,0.328,63.15,50.02,0.873,9:53:02 PM:031,1
292,220.65,0.305,57.40,50.01,0.853,9:53:02 PM:405,1
293,220.57,0.328,63.09,50.03,0.872,9:53:02 PM:783,1
294,220.69,0.313,59.97,50.04,0.868,9:53:03 PM:147,1
295,220.73,0.329,64.45,50.03,0.888,9:53:03 PM:524,1
296,220.46,0.317,61.37,50.02,0.878,9:53:03 PM:898,1
297,220.48,0.317,60.27,50.02,0.862,9:53:04 PM:271,1
298,220.48,0.307,58.50,50.01,0.864,9:53:04 PM:648,1
299,220.48,0.322,61.24,50.03,0.863,9:53:05 PM:022,1
300,220.61,0.302,57.66,50.02,0.866,9:53:05 PM:397,1
301,220.66,0.318,61.90,50.02,0.882,9:53:05 PM:771,1
302,220.72,0.343,67.77,50.02,0.895,9:53:06 PM:148,1
303,220.80,0.310,59.53,50.02,0.870,9:53:06 PM:523,1
304,220.63,0.310,59.47,50.00,0.869,9:53:06 PM:896,1
305,220.72,0.312,60.47,50.02,0.878,9:53:07 PM:271,1
306,220.61,0.310,59.46,50.02,0.869,9:53:07 PM:644,1
307,220.52,0.323,61.54,50.01,0.864,9:53:08 PM:021,1
308,220.71,0.323,62.09,50.01,0.871,9:53:08 PM:395,1
309,220.68,0.460,66.59,50.00,0.656,9:53:08 PM:800,1
310,220.69,0.267,49.54,50.01,0.841,9:53:09 PM:176,1
311,220.72,0.339,66.48,50.02,0.888,9:53:09 PM:565,1
312,220.63,0.312,60.15,50.00,0.874,9:53:09 PM:943,1
313,220.64,0.283,54.15,50.01,0.867,9:53:10 PM:331,1
314,220.67,0.292,53.05,50.00,0.823,9:53:10 PM:719,1
315,220.75,0.290,55.53,50.02,0.867,9:53:11 PM:093,1
316,220.79,0.319,61.98,50.00,0.880,9:53:11 PM:470,1
317,220.65,0.270,50.67,50.01,0.851,9:53:11 PM:847,1
318,220.82,0.312,58.88,50.01,0.855,9:53:12 PM:236,1
319,220.79,0.274,51.67,49.99,0.854,9:53:12 PM:598,1
320,220.54,0.342,67.47,50.00,0.895,9:53:12 PM:986,1
321,220.81,0.303,58.24,50.00,0.871,9:53:13 PM:360,1
322,220.77,0.315,60.77,49.99,0.874,9:53:13 PM:732,1
323,220.77,0.295,55.99,49.99,0.860,9:53:14 PM:108,1
324,220.86,0.313,59.29,49.99,0.858,9:53:14 PM:482,1
325,220.80,0.286,54.21,49.99,0.858,9:53:14 PM:857,1
326,220.74,0.365,66.80,50.01,0.829,9:53:15 PM:234,1
327,220.97,0.300,56.89,50.01,0.858,9:53:15 PM:605,1
328,220.91,0.298,56.78,50.00,0.863,9:53:15 PM:980,1
329,220.97,0.293,54.71,50.02,0.845,9:53:16 PM:357,1
330,220.82,0.298,56.78,50.00,0.863,9:53:16 PM:735,1
331,220.84,0.295,56.16,50.01,0.862,9:53:17 PM:108,1
332,220.79,0.431,80.45,49.99,0.845,9:53:17 PM:487,1
333,220.70,0.460,95.06,50.01,0.936,9:53:17 PM:867,1
334,220.71,0.470,97.32,50.00,0.938,9:53:18 PM:248,1
335,220.78,0.476,98.69,50.01,0.939,9:53:18 PM:629,1
336,220.79,0.477,99.02,49.99,0.940,9:53:19 PM:009,1
