??,??(V),??(A),??(W),??(Hz),????,??,??
248,219.09,0.303,57.64,49.97,0.868,7:30:45 PM:555,1
249,219.00,0.309,58.32,49.96,0.862,7:30:45 PM:930,1
250,219.12,0.278,51.95,49.97,0.853,7:30:46 PM:318,1
251,219.37,0.254,44.57,49.97,0.800,7:30:46 PM:693,1
252,219.13,0.209,34.67,49.97,0.757,7:30:47 PM:089,1
253,219.03,0.227,40.26,49.98,0.810,7:30:47 PM:456,1
254,219.14,0.228,37.90,49.96,0.759,7:30:47 PM:838,1
255,219.13,0.233,41.29,49.97,0.809,7:30:48 PM:213,1
256,219.02,0.203,32.69,49.97,0.735,7:30:48 PM:588,1
257,219.02,0.218,37.44,49.96,0.784,7:30:48 PM:975,1
258,218.99,0.247,39.51,49.96,0.730,7:30:49 PM:356,1
259,219.05,0.191,30.08,49.96,0.719,7:30:49 PM:731,1
260,218.98,0.251,40.88,49.97,0.744,7:30:50 PM:105,1
261,219.01,0.201,34.30,49.96,0.779,7:30:50 PM:480,1
262,218.89,0.235,40.37,49.96,0.785,7:30:50 PM:856,1
263,219.12,0.186,30.08,49.98,0.738,7:30:51 PM:230,1
264,219.33,0.257,46.26,49.96,0.821,7:30:51 PM:604,1
265,219.30,0.201,34.13,49.97,0.774,7:30:51 PM:977,1
266,219.36,0.220,37.77,49.96,0.783,7:30:52 PM:352,1
267,219.32,0.233,39.53,49.97,0.773,7:30:52 PM:725,1
268,219.09,0.505,66.61,49.97,0.602,7:30:53 PM:098,1
269,219.23,0.251,44.39,49.96,0.807,7:30:53 PM:474,1
270,219.21,0.213,35.91,49.98,0.769,7:30:53 PM:851,1
271,219.35,0.281,52.88,49.97,0.858,7:30:54 PM:222,1
272,219.33,0.295,56.30,49.97,0.870,7:30:54 PM:597,1
273,219.31,0.180,27.99,49.96,0.709,7:30:54 PM:973,1
274,219.25,0.327,61.10,49.96,0.852,7:30:55 PM:351,1
275,219.17,0.288,54.33,49.98,0.861,7:30:55 PM:727,1
276,219.28,0.253,43.45,49.97,0.783,7:30:56 PM:101,1
277,219.54,0.263,49.10,49.98,0.850,7:30:56 PM:477,1
